ID,date_time,lat,lon,depth(km),magnitude,origin
18073981,2018-01-19T002524.11,42.6168,13.2492,16.2,ML1.6,4 km W Amatrice (RI)
18074041,2018-01-19T003057.63,42.9332,13.1695,3.9,ML1.5,3 km E Ussita (MC)
18074101,2018-01-19T003213.08,42.8945,13.0457,10.8,ML1.1,2 km N Preci (PG)
18074161,2018-01-19T004429.44,42.5778,13.2367,10.7,ML2.2,6 km N Montereale (AQ)
18074201,2018-01-19T004513.82,42.58,13.23431,10.5,ML1.6,6 km N Montereale (AQ)
18074291,2018-01-19T005917.17,42.6497,13.2012,11.3,ML1.4,5 km NE Cittareale (RI)
18074501,2018-01-19T020407.55,43.0597,13.0342,9.1,ML1.3,2 km NW Pieve Torina (MC)
18074701,2018-01-19T030328.96,42.6245,13.2445,15.1,ML1.2,4 km W Amatrice (RI)
18074801,2018-01-19T030724.95,42.8125,12.9792,9.4,ML1.0,5 km E Cerreto di Spoleto (PG)
18074901,2018-01-19T034938.81,42.7063,13.2368,10.6,ML1.6,2 km NW Accumoli (RI)
18075041,2018-01-19T043359.37,43.0553,13.0392,8.6,ML1.6,1 km NW Pieve Torina (MC)
18075141,2018-01-19T044920.08,43.0592,13.0402,9.1,ML1.6,2 km NW Pieve Torina (MC)
18075241,2018-01-19T050031.52,43.0542,13.052,9.7,ML1.1,1 km N Pieve Torina (MC)
18075301,2018-01-19T054127.37,42.7018,13.2678,13,ML1.7,2 km E Accumoli (RI)
18075351,2018-01-19T054450.06,43.0078,13.044,6,ML1.3,4 km E Monte Cavallo (MC)
18075411,2018-01-19T054613.39,38.2762,14.8787,128.8,ML2.2,Costa Siciliana nord-orientale (Messina)
18075451,2018-01-19T055824.99,42.7092,13.2325,8.6,ML1.4,2 km NW Accumoli (RI)
18075701,2018-01-19T070702.74,43.0297,13.0533,6.1,ML1.3,2 km S Pieve Torina (MC)
18075931,2018-01-19T082520.63,42.7808,13.1297,9.5,ML1.5,3 km E Norcia (PG)
18076151,2018-01-19T090321.09,42.7118,13.2247,10.8,ML1.2,3 km NW Accumoli (RI)
18076201,2018-01-19T090623.03,43.1058,13.7298,14.1,ML2.1,2 km N Moresco (FM)
18076241,2018-01-19T090659.1,42.9865,13.0381,0,Md1.5,3 km E Monte Cavallo (MC)
18076531,2018-01-19T095401.64,42.8621,3.02437,0.2,ML0.8,2 km SW Preci (PG)
18076961,2018-01-19T112624.07,42.8323,13.2622,10.8,ML1.2,6 km W Montegallo (AP)
18077291,2018-01-19T122657.39,42.6507,13.2942,6.7,ML1.3,2 km N Amatrice (RI)
18077391,2018-01-19T123659.76,43.0608,13.0312,7.9,ML1.8,2 km NW Pieve Torina (MC)
18077451,2018-01-19T123942.73,42.9095,13.1383,5.6,ML1.3,2 km NW Castelsantangelo sul Nera (MC)
18077531,2018-01-19T125610.01,42.8091,3.13021,0.9,ML1.5,3 km NE Norcia (PG)
18077921,2018-01-19T140322.28,42.7837,13.0893,10.9,ML1.2,1 km SW Norcia (PG)
18078041,2018-01-19T143250.11,42.5448,13.3559,0.5,ML1.6,2 km SW Campotosto (AQ)
18078281,2018-01-19T153635.73,43.0055,13.0262,8,ML3.2,2 km NE Monte Cavallo (MC)
18078431,"2018-01-19T161746.40
",26.659,-110.922,9.8,Mw6.3,"Gulf of California, Mexico [Sea Mexico]"
18078471,2018-01-19T163009.89,41.6127,13.9063,8.7,ML1.4,2 km W San Biagio Saracinisco (FR)
18078531,2018-01-19T164244.78,43.0108,13.0283,8,ML1.0,3 km NE Monte Cavallo (MC)
18078671,2018-01-19T172808.99,43.0585,13.0313,8.1,ML1.8,2 km NW Pieve Torina (MC)
18078791,2018-01-19T173943.48,46.4198,13.0562,9.2,ML3.9,3 km E Tolmezzo (UD)
18078921,2018-01-19T174836.34,46.4257,13.0842,5.4,ML1.9,6 km E Tolmezzo (UD)
18078901,2018-01-19T175523.25,42.9415,13.1268,10.6,ML0.9,1 km W Ussita (MC)
18079041,2018-01-19T181308.55,42.9917,13.0003,13.4,ML0.9,Monte Cavallo (MC)
18079271,2018-01-19T190131.35,42.7502,13.2543,10,ML1.3,4 km SW Arquata del Tronto (AP)
